Keyword,Review,Tone,Attribute1
built ,  - Last but not least Nokia ,3,
memory ,  two ,0,
delivered, snapdeal ,0,
windows, for me it is 1st ,0,
snapdeal, and horrible experience with ,1,
memory , internam ,0,
memory , extra ,0,
hanging, phone is not ,3,
windows,  Bttr buy other brand nd ,0,
features, Mobile ,0,
features,  But only problem is that the headphone is not noise cancellation type as mentioned in the ,1,headphone
headphone,  But only problem is that the ,1,
snapdeal,  But only problem is that the headphone is not noise cancellation type as mentioned in the features posted on ,1,
headphone,  The model number of the nokia ,0,
headphone,  The speakers of the ,0,
headphone,  This ,0,
features, its looks very good and ,3,
music, In ,0,
fast, Touch awesome camera good Office document is very easy to open Internet is also ,3,
fast, Good Battory Backup,3,
snapdeal, This is a great phone in best price I have bought same two phone from  ,3,
hangs, com because it never ,3,
snapdeal, com because it never hangs and speed of this phone is best I have a great trust on ,3,trust
snapdeal, com  I  have bought many products from ,3,
games, the phone gets excellent processor  never hangs when playing large ,3,processor
hangs, the phone gets excellent processor  never ,3,processor
touch, phone does not have gorilla glass but have great experience of ,3,
features, will all ,0,
windows, loded with ,0,
features,  it has very good touch and many new ,3,
touch,  it has very good ,3,good
windows, it is the only in indian history which is having ,0,
Camera,  Its a Quad Core processor with very low rate its a great ,3,great
Flash,  Its a Quad Core processor with very low rate its a great Camera 5MP without ,1,
hangs,  its working very smoothly not like android and also not ,3,smooth
windows, this is a good ,3,
video,BUT ,0,
video,  it cant play 720p hd ,1,720p
video,  it cant play 720p hd ,1,HD
video, it only plays 640p ,1,640p
hardware, I would say this is a decent phone if you are ok with Windows OS phone came with backpanel cracked but I dont mind that since I bought it for my wife and it is to be used with a cover Windows OS comes with its own issue but ,0,
features,  All my emails notes office PDF fb wtsapp twitter running properly and im using all ,3,Emails
features,  All my emails notes office PDF fb wtsapp twitter running properly and im using all ,3,Pdf
office,  All my emails notes ,0,
storage,the only and only drawback is the low internal ,0,
hanging, superb look nice battery lifephone is not ,3,
snapdeal,  its amazing phone thank u ,3,
budget,  Its a low ,3,Low
windows,  Its a low budget ,3,
windows,  Proud to be a ,3,
Battery,Pros: Touch is great nice looks very fast and no lags headphone provided is great very nice display clear and crisp good primary camera Brand of Nokia Long life body Good ,3,good
body,Pros: Touch is great nice looks very fast and no lags headphone provided is great very nice display clear and crisp good primary camera Brand of Nokia Long life ,3,
fast,Pros: Touch is great nice looks very ,3,very
headphone,Pros: Touch is great nice looks very fast and no lags ,0,
lag,Pros: Touch is great nice looks very fast and no ,3,no
features,Overall: My friend is happy wihtthe device and he think it is a great smartphone in this range and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar ,2,
Flash,Cons: ,1,
heavy,Cons: Flash is not there in phone speaker not too  loud secondary camera not provided quite ,0,
features,  These two ,0,
fast, Touch is great nice looks very ,3,very
headphone, Touch is great nice looks very fast and no lags ,0,
lag, Touch is great nice looks very fast and no ,3,no
snapdeal,  thanks to ,3,
software,  the inbuilt ,0,
windows, this is my first ,0,
fast,Pros: nice look no lags very ,3,Lag
lag,Pros: nice look no ,3,no
touch,Pros: nice look no lags very fast clear display ,3,
Battery,Cons: ,1,
fast,Pros: Touch is great nice looks very ,3,very
features,Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar ,2,
headphone,Pros: Touch is great nice looks very fast and no lags ,0,
heavy,Cons: Battery backup is poor speaker not too loud installed apps are not of great use quite ,1,Apps
lag,Pros: Touch is great nice looks very fast and no ,3,no
performance,  Awesome ,3,
Price, Every thing is Good Product ,0,
features,Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar ,0,
browsing,The best part is its amazing internet ,3,Internet
internet,The best part is its amazing ,3,
windows, if u want to jump from android to ,0,
windows,  And one of the most good thing is that all of ,0,
windows, take this phone if u want to experience ,3,Phone
windows, microsoft ,0,
quad core, 2Ghz ,0,
games,Never hangs plays ,3,Hangs
hangs,Never ,3,
video,  Lags sometimes while watching mkv ,1,Lags
snapdeal,  Very bad experience with ,1,
snapdeal,  My 5 stars only for the product not for ,1,
features, overall a good smartphone but lacking some ,1,Lacking
service, pretty satis fied with the product price and ,3,Satisfied
affordable, Good phone for the ,0,
service,Only i have issue with delivery ,1,
service,it tooks 8days to delivery from Delhi to Patna which was really very bad deliverly ,1,
snapdeal,So friends ,0,
service, Its really good ,3,
microsoft, it is rocking phone ,0,
video,  loud and clear voice output for audio and ,3,Loud 
video,  loud and clear voice output for audio and ,3,Clear
sound,  4 GB internal2gb for user and good ,3,
touch,  4 GB internal2gb for user and good sound and good ,3,
delivered,  Snap deal ,0,
snapdeal,i am impressed with the product from ,3,Product
windows, I am using my first ,0,
lag, The performance is good with no ,3,no
delivered,  But the snapdeal service is very poor and ,1,Service
delivered,  But the snapdeal service is very poor and ,1,poor
delivered,  But the snapdeal service is very poor and ,1,poor
service,  But the snapdeal ,0,
snapdeal,  But the ,0,
interface,  Windows 8 gives us new ,3,
service, I am happy with snapdeal ,3,
snapdeal, I am happy with ,3,
windows, I am happy with snapdeal service and this ,3,
fast,  It is ,3,
touch,  It is fast with great ,3,
windows, being a ,0,
touch, not recommended for purchase very small ,0,
windows, not recommended for purchase very small touch is very poor display is very small as compare to ,0,
internal, This is a good mobile in this pricegood internet speedcustomizationprocessRAM and ,3,
internet, This is a good mobile in this pricegood ,3,
service, I bought many products from snapdeal and I experienced good delivery ,3,
snapdeal, I bought many products from ,0,
snapdeal, Product is perfect but ,0,
snapdeal,Otherwise than delivery ,0,
features, Every ,0,
budget, In this ,0,
budget, mobile is good in this ,3,good
performance, excellent ,3,
windows,  seamless transition because of ,3,Transition
budget,  a very good product for the cost and i definitly advise friends those who wants a good smart phone at low ,3,low
delivered,  Firstly product ,0,
office,  Firstly product delivered to me very late and actually I myself went to local courier ,1,Courier
speakers, Initially ,0,
connectivity, I think it is perfect mobile to handle always with net ,3,Net
windows,  I have no regret in buying this ,3,
windows, it is a good phone my first ,3,
fast, super,3,super
lag, superfast no ,3,no
cheap, nice phone very ,3,very
fast, good build quality and very smooth ,3,Smooth
smooth , good build quality and very ,3,
service,  Nokia Lumia is really a very good produt but snap deal ,0,
snapdeal,  I ordered this mobile through ,0,
budget,  i recommend this mobile those who are looking for 5 to 7k ,3,
service,  Basically the product and the ,0,
performance, excellent phone in the price good ,3,
internal, it would be nice of it comes wid the 8 gb ,3,8GB
windows, Nice to handle ,3,Nice
internet, 1 softwares and good ,3,
cheap, finally lumia is  ,3,
hanging, Over hitting Problem Some apps are not showing and ,1,Apps
office, Over hitting Problem Some apps are not showing and hanging problem Ms ,0,
service, i m satisfy by snapdeal about rates and deliverey ,0,
snapdeal, i m satisfy by ,3,
internet, Every time ,0,
games, We cannot install any apps or ,0,
internet, We cannot install any apps or games without ,0,
games, All the apps or ,0,
budget, No word for this ,3,
windows, No word for this budget ,0,
features, 1 added new ,0,
office, ms ,0,
snapdeal, fbskype,0,
light, 5MP camera is good with good low light ,3,Low
picture, 5MP camera is good with good low light ,3,Low loght
smooth , Ram 512 mb however runs appliction ,3,
picture,songs ,0,
snapdeal, it was great experience to purchase nokia phone from ,3,Purchase
snapdeal, Nice service by ,3,Service
online,  but i little upset when i know some other ,0,
windows, in such a low rate it is the best mobile in ,0,
microsoft, this is a perfect product in this price thank for ,3,Price
snapdeal, this is a perfect product in this price thank for microsoft for launching this phone in this price thanks ,3,
affordable, features are good ,3,
music, features are good affordable easy to operate long battery life while operating whatsaap and other online apps good camera quality good ,3,
online, features are good affordable easy to operate long battery life while operating whatsaap and other ,0,
sound, features are good affordable easy to operate long battery life while operating whatsaap and other online apps good camera quality good music ,3,
delivered,   They had ,0,
budget, This is a nice phone in the ,3,nice
features, An amazing phone with superb ,3,
heating, a good phone at this price *discounted pricehahabut i must say value for moneyonly thing annoys me that its ,1,
snapdeal, Got this phone before one day of mentioned delivery date so thank you ,3,Delivery
interface,  Phone ,0,
performance,  Phone interface is little bit hard but still its good and will see ,0,
snapdeal,  i suggest to buy it from ,3,Buy
gaming, good for ,3,
games,pros: 5 megapixel camera easy search option of contacts ,0,
smooth ,  TFT touch screen for ,0,
touch,  TFT ,0,
memory ,Cons: RAM and User ,0,
day,  Screen brightness needs improvement for ,1,Screen
day,  Screen brightness needs improvement for ,1,improvement
day,  Screen brightness needs improvement for ,1,improvement
day,  Screen brightness needs improvement for ,1,Brightness
day,  Screen brightness needs improvement for ,1,improvement
day,  Screen brightness needs improvement for ,1,improvement
windows, It had a decent battery backup and the latest ,0,
charging,  Battery ,0,
service, Since its my first purchase on SnapDeal Im happy with your ,3,
windows, This was my first ,0,
windows,  Its nice ,3,
windows,Pros: Dual SIM ,0,
browsing,  Dial pad is clear with big numbers and ,0,
snapdeal, Very Nice stuff thank u ,3,
online,  In total all you can ask from an ,0,
touch, smooth ,3,Smooth
video,Only con to me is it doesnt support 1080p ,1,1080p
service, I wasnt hoping this ,0,
responsive, Very Good Os and touch screen is very ,3,
touch, Very Good Os and ,3,
windows,i was fed up with android so i got this on ,2,
smooth , touch is very ,3,
microsoft, Its a good phone from ,3,Phone
applications,  so some ,0,
touch,  This is her first ,0,
fast, its appearance is good and it is ,0,
touch, its appearance is good and it is faster than lumia 520 because of quad core processor ,0,
quad core, its appearance is good and it is faster than lumia 520 because of ,3,Faster
service,  The device is good Good ,3,
gaming, Lumia 530 is excellent phone in all respect like ,3,
Delivery, Good and original but something should be improve in ,1,Improve
video, bad bad ,1,
snapdeal,  Though there is no flash and front camera it is worth for 6000- when i bought from ,0,
windows,  The cheapest ,3,Cheapest
budget,  Low ,0,
budget,  Awesome phone in low ,3,Low  
clarity, The requirements were simplegood soundvoice ,3,
clarity, The requirements were simplegood soundvoice ,3,
games, The requirements were simplegood soundvoice claritysignal strengthbasic ,3,Basic
sound, The requirements were simplegood ,0,
fast, The battery drains too ,1,
Apps,  some what battery problem for heavy use of games and ,0,
games,  some what battery problem for heavy use of ,0,
heavy,  some what battery problem for ,0,
office,  But mobile phone is practical and works very well especially for MS ,3,MS
features, I have to still explore other smart ,0,
touch,  Mobile phone shows excellant response for ,3,Response
Apps,  I can transfer ,0,
games,Finally i recommend this mobile for those who routinely uses  Apps like Music Internet MS office organizers and light ,3,Light
memory ,  I can transfer Apps from mobile to SD card ,0,
office,Finally i recommend this mobile for those who routinely uses  Apps like Music Internet MS ,0,
memory ,   I am currently using 16 GB ,2,
snapdeal,  Best deal at ,3,
budget,  Must buy phone for 6K ,0,
performance,  I am already using Nokia Lumia 820 and is pretty happy with its ,3,
Android,  I researched a lot about all phones at this price band - ,0,
budget,  In short it is a nice phone at a ,3,nice
Android,About Windows store - guys let me tell you it has all the required apps as you will get in ,0,
build,  Perfect ,3,Perfect
smooth ,About UI - it has got a buttery ,3,Buttery
UI,About ,0,
lag,  Doesnt ,3,Doesnt
games,Gaming- even high end ,0,
Android,Verdict - Go for it you are looking for a cheap ,0,
cheap,Verdict - Go for it you are looking for a ,0,
hardware,Compared with its price point  ,0,
interface,No lag and easy user ,3,User
lag,No ,3,no
body,Plastic ,0,
applications,Most of the popular android ,0,
windows,Most of the popular android applications are available in ,2,
games,High end ,0,
lag,High end games working with no ,3,no
performance,High end android phone fail to meet with the ,1,Android
performance,Overall ,0,
cheap, in spite of being the the ,0,
performance, in spite of being the the cheapest lumia no compromise in ,3,
windows,  regarding apps no reasons to regret to choose ,3,
budget, lumia series provides a vry chip ,3,
microsoft,  thnks nokia nd ,0,
video, All were good but one problem is that we couldnt save many ,0,
features, This is a good phone for the price tag and has decent ,3,Decent
touch,also there is problem on screen ,1,
windows, nothing to say for ,0,
fast,3G using is ,3,3G
clarity,good touch and sound ,0,
sound,good touch and ,3,
touch,good ,3,
lag,good specsno ,0,
Android,  Ask any techie guy and he will tell that Windows Phones are far better than ,0,
google, i commanded buy only android phone that support all application by ,3,Applications
google,  microsoft not provide all application like ,0,
online, Snapdeal offers the best price avaliable ,3,Price
snapdeal, Snapdeal offers the best price avaliable online if compare to the other sites and also from the shops are in the market whose price are also higher as compare to ,3,
touch, Nice phone in this price range have got a great ,3,
performance, Very happy with the overall ,3,
performance,  530 is no different with regards to device ,0,
internal memory,  no flash less ,0,
memory ,  no flash less internal ,0,
budget,  Would recommend this phone for those looking for a premium phone with ,3,
internal,Cons: Less ,1,
memory ,Cons: Less internal ,1,Internal
gaming, Guys it is really good and I am have ,0,
gaming, so if you are having ,0,
sound, so if you are having gaming fobia so you can take the phone and it also have good ,3,
video, so if you are having gaming fobia so you can take the phone and it also have good sound quality and ,0,
videos, so if you are having gaming fobia so you can take the phone and it also have good sound quality and video quality but some ,0,
video,  It could not play the ,1,
videos,  It could not play the video you to download ,0,
snapdeal, Bought it from ,0,
windows, Surprisingly now ,0,
windows,  ( Drawback of ,0,
budget, Lumia 530 is the best dual sim ,0,
snapdeal, 6840 from ,0,
online,Snap deal is the best ,3,
internal,4 gb ,3,4GB
budget,One thing is missing that flash but in this ,0,
features, Phone has all the ,3,
fast,  is ,0,
smooth , This is a cute little dual sim phone running a very ,3,
Android,   Good features like 3G with an option to select even the second sim for 3G connection which you dont find in most of the ,1,3G
lag, The battery life is awesome and also no ,3,no
interface,  Specialty of the Windows phone is you get the same application and user ,3,User
lag,  Specialty of the Windows phone is you get the same application and user interface across the range of handsets from basic models to f,0,
hardware,  Only difference would be the ,0,
features,I personally liked the phone a lot and also the ,3,
sensor,Only automatic light ,0,
budget, Windows has this one advantages: The ,0,
performance, Windows has this one advantages: The budget phone offers a great ,3,
quad core,nice fone with ,0,
sensor,need: atleast head phones light ambient ,0,
snapdeal, Long time customer of ,0,
buttons, Though a couple of more ,0,
features, With 5 months usage i will say it as the perfect phone with best ,3,Perfect
performance, Better ,3,
charging,  I installed app to maintain proper ,0,
software, its a great headache when to want transfer a song or data instantly from any other system without iphone ,0,
sound, Low Alert ,1,Alert
video, Low Alert sound: As compared to other phone alert sound is low but for watching movie and you tube ,0,
charging, Unique Charging port: Need to carry the ,0,
Battery,Cons: ,0,
fast,Pros: Touch is great nice looks very ,3,very
features,Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a smartphone like Samsung or some others which offer similar ,0,
headphone,Pros: Touch is great nice looks very fast and no lags ,0,
heavy,Cons: Battery backup is poor speaker not too loud installed apps are not of great use quite ,0,
lag,Pros: Touch is great nice looks very fast and no ,3,no
cheap,Got it on the ,0,
service,  Very good ,3,
build,  Excellent phone with superior ,3,superior
fast,  Very smooth and very ,3,very
fast,  For trial run i used 2G network and it works very ,3,2G
heavy,  Slightly ,1,Slightly
Camera,-DSLR quality ,3,DSLR
Camera,-DSLR quality ,3,quality
Camera,-DSLR quality ,3,quality
lens,-DSLR quality Camera ( Im into photography and own DSLR with additional ,0,
Display,-Amazing ,3,amazing
performance,-Very Good overall ,3,
Brightness,-Excellent ,0,
snapdeal, I found the purchase and delivery methods of ,0,
online, I was checking all the ,0,
picture,Ive seen some ,0,
service,Anyways overall Im very happy with the phone and Snapdeal ,3,
image,PS: You can also check the ,0,
stylish,  It looks very good and ,3,
online,  Snapdeal offering is the best across ,0,
warranty,  May make you a little wary but thats OK as long as Snapdeal is selling this product with Apple India ,0,
memory ,  I feel 8 GB ,0,
snapdeal,  Thank you ,3,
budget, got the phone awwww sorry IPHONE as i needed in the ,0,
snapdeal,  thank u ,3,
fast, Excellent product and very ,3,very
Price, great smartphone and reasonable ,3,Reasonable
service,*The customer ,0,
Battery,*,0,
service, awesome phone awesome ,3,
snapdeal, awesome phone awesome service ,3,Service
lag,Ios no doubt is the best no ,0,
UI,awesomme B,3,
snapdeal, If you can afford it and want the greatest you wont be disappointed with an offer provided by ,3,
delivered,The packaging was very nice and the product was ,3,packaging
delivered,The packaging was very nice and the product was ,3,nice
delivered,The packaging was very nice and the product was ,3,nice
lens,  So she knows a thing or two about the ,0,
performance,Apart from that shes got used to the apple ecosystem pretty quickly and is happy with the overall ,3,
games,  Basic telephony google search for images whatsapp Candy crush and a couple more arcade ,0,
google,  Basic telephony ,0,
image,  Basic telephony google search for ,0,
snapdeal, purchase through ,0,
snapdeal, I like this phone soooo much thank you ,0,
gaming,  Perfect for daily use and soft-core ,2,
fast,only constraint is its battery which drain too ,1,
fast,only constraint is its battery which drain too ,1,Drain
budget,still at the lowest ,3,lowest
features,  camera is really good having many auto ,3,Camera
features,  camera is really good having many auto ,3,Auto
delivered, The phone was ,0,
memory , Other than 8GB ,0,
snapdeal,  i would prefer to by mobile from ,3,
snapdeal, But dont buy in ,1,
gaming, If you are not a heavy duty smart-phone user deep into ,0,
heavy, If you are not a ,0,
build,  In terms of ,0,
budget,  If you have a small ,0,
snapdeal, Go with ,3,
delivered, Took a little while to get it ,1,
service,  They have tie up with Xpressbees courier which has the worst ,1,Xpressbees
snapdeal,  and grate deal with ,3,
delivered, Safely packed and ,3,safely
features,  has a lot of ,3,
Bluetooth,  But the piece is a bit heavy and there is no option to connect to any other device over ,1,connect
heavy,  But the piece is a bit ,1,
video,  But the piece is a bit heavy and there is no option to connect to any other device over Bluetooth except another iOS phone and songs and ,0,
build, Overall ,0,
snapdeal, awosome experience with ,3,Experience
lag,  Its ultra smooth and never ,3,never
smooth ,  Its ultra ,3,
heavy, The perfect phone but a little bit ,1,
performance,Awesome battery backup ,3,Battery
features, my first iphone this is agood phone all ,3,
snapdeal, my first iphone this is agood phone all features of phone is good i would recomend this phone to all my friends and faimly i got this phone from ,3,
snapdeal, Thank u ,3,
snapdeal,  I love the deals on ,3,
snapdeal, I got a jaw dropping offer on ,3,
delivered, original product but ,0,
snapdeal, thnx ,3,
windows, hi there everyone  my first cell was a java based cell then ,0,
Ios,but guys ,0,
lag,still its smooth and without ,3,without
smooth ,still its ,3,
features, Amazing phone with great all in one ,3,
online, i was fearing in starting days for ,0,
snapdeal, i was fearing in starting days for online ordering as they supply duplicate items but my so many experience with ,0,
features, Nice product great ,3,
performance, Nice product great features easy to handle great ,3,
sound, Nice product great features easy to handle great performance ,0,
features,  Having all ,3,
online, i have checked so many ,0,
snapdeal, i have checked so many online shopping websites but ,0,
Android,  And guys stop comparing Apple with ,0,
touch, Very Handy  Excellent ,3,
features, it has all those ,3,
features,  love the battery life and all its great ,3,Battery
features,  love the battery life and all its great ,3,Life
features, I am still getting accustomed to the i-phone but overall am very happy with it and enjoying all its various ,3,
operating system,  I myself has used every single brand of phones and ,0,
fast,  even if its ,3,
interface,  even if its fast its very simple to use and the ,3,
back ,  Very well built body and smooth simple looksand the apple logo just adds a charm to the ,3,logo
body,  Very well built ,3,built
smooth ,  Very well built body and ,0,
music,  As i bought a 16 GB model it though seems to be enough but after around 500 photographs and ,0,
snapdeal,  love ,3,
snapdeal, love ,3,
Android,  No Hang problem as it happens on ,1,
features,But if you are looking at ,0,
delivered, Its a very good phone designed by apple but i am facing some issues by the phone piece i have ,0,
hanging,  it also have some ,0,
snapdeal,  overall experience of buying from ,0,
Display,Retina ,3,Retina
memory ,Note: 4s comes with 512MB ram but ios ,0,
Processor,Apple A5 chip (,0,
features, Best Phone for those who love to have wow ,3,
snapdeal, Ive bought three handsets from ,0,
fast,Touch is great nice looks very ,3,very
headphone,Touch is great nice looks very fast and no lags ,0,
lag,Touch is great nice looks very fast and no ,3,no
applications,  Extremely smooth and fast u dont find the lag at all using multiple ,3,Multiple
applications,  Extremely smooth and fast u dont find the lag at all using multiple ,3,
fast,  Extremely smooth and ,3,extremely
lag,  Extremely smooth and fast u dont find the ,3,
smooth ,  Extremely ,3,
charging,  Battery drains little faster but the ,0,
fast,  Battery drains little ,1,
Android, After having terrible experience with Samsung ,0,
clarity,  It is too good in terms of quick response ,0,
warranty,  checked the ,0,
touch,Look ,0,
headphone,Sound quality with the ,0,
cheap, Got my iphone 4s for very ,3,very
online, Got my iphone 4s for very cheap rate compared to other ,0,
snapdeal,  Would recommend others to buy from ,3,
delivered,  I brought my iPhone and was so glad to see the product ,2,
sound,  I brought my iPhone and was so glad to see the product delivered safe and ,3,Delievered
service,   Very likely to use this ,0,
delivered, Ordered my I phone 4s and snap deal ,0,
service,  This is good ,3,
snapdeal,  Cheers ,3,
delivered,Genuine sellers and products are ,0,
snapdeal,  thnq ,3,
internet,CONS:It would have been better if it had an extendable memory and better battery backup when using ,0,
memory ,CONS:It would have been better if it had an extendable ,2,Extendable
snapdeal, This is my first shoping with ,0,
snapdeal, Happy to love shoping from ,3,
snapdeal,  Delivery from ,0,
snapdeal,  I will also sggest to my friends and family about the ,3,
service, r else use some better courier ,1,Courier
games, nd when u play ,0,
stylish, Looks ,3,
snapdeal, Received a well packed and genuine product by ,3,Packed
snapdeal, Received a well packed and genuine product by ,3,Genuine
snapdeal,  But remember to check the seller( authorized seller by ,0,
snapdeal, Got the phone at a great deal all thanks to ,3,
clarity, Out standing voice ,3,
hardware, Out standing voice clarity Solid ,3,Solid
service,Never in life I am going to buy any Samsung phone their Hardware is rubbish S4 Mini was getting hot with in  15 days and then only one of the two sims was able to catch network while both the sims were from the same ,0,
service,  After getting it repaired from their ,0,
hardware,  Had to go through hassle of managing complete data loss and its recovery twice because of the repairs which Samsung doesnt do it for you (I strongly feel they should do it as it is required because of their ,0,
hardware,  Battery is a humble one yet the ,0,
speakers,  It is as clear as a Land-line phone and ,0,
heavy,  Body is little ,1,Body
memory ,  If you need lot of music etc on phone it has a limited ,1,Limited
music,  If you need lot of ,0,
online, this is the best site for ,3,
service, snap deals give us best rate and ,3,
snapdeal,  Awesome service by ,3,Service
service,  No delay in ,3,Delay
service,  I would like to shop more with Snapdeal in future because the ,3,
heavy,  I booked it on 6th Oct on ,0,
delivered,  SD ,0,
online, This review is basically on the product and not the ,0,
service, This review is basically on the product and not the online ,0,
Android,I have been an ,0,
touch,  Same reaction evokes with the ,0,
office,  Since I do not have 3g enabled so the online activities is limited to availability of Wifi access in my ,0,
online,  Since I do not have 3g enabled so the ,0,
features,  I feel iPhone limits a user to certain ,2,
touch,  No simple ,0,
Android,  Being an informed user iPhone cripples me and sadly I am thinking of going back to ,3,
Android,I would suggest people who use ,0,
budget,Pls note this review is based on my experience with 4S as that is what suits my ,3,suits
fast,Working Fine and ,3,
Camera,  Every Thing is Perfect :) :D ,0,
cheap, Really good and even ,3,good
service, Although I was skeptic about ecom courier ,0,
delivered,Ecom express ,3,Express
snapdeal,Also ,0,
snapdeal, i got a very good price @ ,3,
budget, Awesome phone in my ,3,awesome
smooth , Battery life is pathetic and also it is not as ,1,Pathetic
storage, 9 GB of ,0,
snapdeal,Super experiance by ,3,Experience
snapdeal, best dealing with ,3,Dealing
snapdeal, I have bought this handset from ,0,
fast, Only internet does not work ,1,
internet, Only ,0,
sound,3 Good ,3,
interface,4 Best touch ,3,Touch
touch,4 Best ,3,
build,5 Better ,3,better
memory ,CONS- 1 No direct access to the inbuilt ,1,
online, ITs a very good side for purchase any product by ,0,
Price,  Best iPhone for the Best ,3,
online, This is a WOW phone i never bought costly gadgets ,0,
snapdeal, This is a WOW phone i never bought costly gadgets online this was first time for me all thanks to ,3,
music,  The camera email ,0,
hanging, the best part which i liked is that there isnt ,3,
snapdeal,  Otherwise shopping at ,0,
snapdeal,Got in 4 daysafter i buy from ,0,
snapdeal, thank you ,3,
clarity, ive never seen this much ,3,
Camera,Sound 810 ,0,
fast,  Then you can transfer files to any phone (without jailbreaking) via wifi 10x+ ,3,
fast,  You can do anything blazing ,3,blazing
fast,Blazing ,3,blazing
features, its very stylish xtra ,3,
stylish,  The sleek and ,3,
performance, 2 GHz Quad Core QUALCOMM Snapdragon processor feel the ,3,2GHz Quad Core
applications,  Click and open ,0,
music,  Listen to ,0,
features,  The 2600 mAh Li-Ion battery helps you enjoy the many ,3,battery
picture, 9 MP front and 8 MP rear camera you can click beautiful ,3,
Android,  Other useful features include Kies PC application ,3,
features,  Other useful ,0,
video,  Other useful features include Kies PC application Android browser FM Radio and multiple audio ,0,
Android,  This best ,3,
connectivity,  This best Android phone comes with multitude of ,3,multitude
Bluetooth,  It features 2G 3G GPRS EDGE ,0,
connectivity,  With easy ,3,easy
Android,With the ,0,
Android,  Smooth and user-friendly with ,3,Smooth
applications,  Download your favourite ,0,
music,  Download your favourite applications ,0,
storage,  The phone comes with 8 GB ,3,8GB
Apps,  Access and download it from Samsung ,0,
music,  Access and download it from Samsung Apps store and access ,0,
video,  Access and download it from Samsung Apps store and access music movies ,0,
applications,  Organising and accessing ,0,
applications,  Pair up different ,0,
applications,  With all your favourite ,3,
touch,  Pair with just a single ,0,
applications,  Indulge in group chats and calling with the built-in ChatON and Google+ Hangouts ,3,ChatON
applications,  Indulge in group chats and calling with the built-in ChatON and Google+ Hangouts ,3,Hangouts
features,  It also ,0,
picture,  It also features My Magazine Samsung Hub and Story Album which helps you make beautiful story albums out of your ,0,
video,  It also features My Magazine Samsung Hub and Story Album which helps you make beautiful story albums out of your pictures and ,0,
warranty,  With this phone get 1 year manufacture ,3,1 year
Camera,Bigger Screen Better ,3,better
Screen,Bigger ,3,
video,  Watching your favourite movies photos and ,0,
image,  Text reads sharper and ,0,
video,  Only turn on the mobile data or Wi-Fi network and make ,0,
features,  Its rear camera ,0,
Flash,  Its rear camera features Autofocus and LED ,3,LED
picture,  Shot feature click ,0,
applications,  If your work demands a lot of travel then the dual camera powerful battery and built-in ,3,
back ,Upper half of the phone gets heat up after continuous use of 30 min or more especially the ,1,Heat
Battery,Good ,3,Good
Screen,HD ,3,HD
lag,Time ,1,Time
internet,  excellent performance in ,3,
performance,  excellent ,3,
heats, Really its ,1,
heavy, Really its heats but its due to its ,0,
features,  Its should be atleast 3200Mah with such a huge ,3,
delivered, Nice phone snapdeal ,3,
snapdeal, Nice phone ,3,
features, I bought Samsung Galaxy Grand 2 owing to its brand value and ,3,
internal,  Except the small ,1,
memory ,  Except the small internal ,1,Internal
windows, Works smoothly and can manage two simultaneous ,3,Smooth
features, I wanted a dual sim phone that shouldnt have any ,0,
Battery,Cons: ,1,Cons:
fast,Pros: Touch is great nice looks very ,3,
headphone,Pros: Touch is great nice looks very fast and no lags ,0,
lag,Pros: Touch is great nice looks very fast and no ,3,no
features,Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar ,0,
snapdeal,plus ,0,
Battery,1) Lets talk about ,0,
games,  i have used this phone for my office work made documents on it had many application running simultaniously ,0,
office,  i have used this phone for my ,0,
surfing,  i have used this phone for my office work made documents on it had many application running simultaniously games running whatsapping Hikeing Skypeing Internet ,3,
build,Due to ,0,
Camera,3) ,0,
video,  front camera is good for SELFIE and ,3,
heavy,1) Heavy: at 163 grms it feel ,1,
lag,3) Lag: After useing for 8 months i will break this myth that it do not ,3,not
lag,  as it does not ,3,not
build,4) RAM and In,0,
build,  and at 8gb in,0,
memory ,  and at 8gb inbuild ,3,inbuid memory
games,  U cannot install Heavy to Heavy ,1,
Android,5) Update: It is in news that grand 2 will not get Update to ,1,
features, Got all the required ,3,
budget,   i will suggest this to everyone who wants everything in limited ,3,limited
software, Only Con will be in ,1,
software, Dont see whether ,0,
service, Was my First Andriod Phone after using Windows Phone Amazing stuff from Samsung as well as Snapdeal good ,3,
features, Its different by many ,0,
features,You can have two sim cards and use the best ,3,
online,Moto G has to be ordered ,0,
Apps,  Games and ,0,
lag,The Moto G in its 16GB doesnt let you use too many apps at once and ive heard of people saying FIFA 14 ,1,
memory ,The G2 has enough ,3,
features,  If u dont need G2 ,0,
cheap,If ur looking for something long term G2 is preferrable bcz its got features that will cope with some of the best phones in the market and with upgrades and samsungs ,0,
features,If ur looking for something long term G2 is preferrable bcz its got ,3,
fast, Browsing is very ,3,very
fast, Browsing is very ,3,
fast, Browsing is very ,3,
cheap,  It looks branded phone and it is at very ,3,very
snapdeal,  It looks branded phone and it is at very cheap price on ,3,
